Team,Rank,Ranking Points,Average Points NP (Tie Breaker 1),EPA,OPR,FTCScout OPR,EPA SOS,OPR SOS,Includes Penalties
365,16,3.3,263.4,8.53,129.45,139.8430580031362,-9.45,104.73,True
506,7,4.1,282.5,56.04,151.46,170.1071362313911,-2.38,110.4,True
1002,29,2.8,244.9,1.51,126.47,142.18417348809206,-5.08,108.77,True
5237,27,2.9,243.5,-23.57,96.26,98.34036318454062,-2.4,108.8,True
6093,19,3.3,223.0,-4.24,84.97,84.18010784649256,-12.86,98.31,True
6133,31,2.6,247.0,6.16,129.03,146.40685546585993,7.78,124.91,True
6962,6,4.1,298.2,37.51,157.39,173.7372940482907,-1.34,116.25,True
7477,43,2.1,213.0,-6.48,97.06,106.31867295296217,2.42,110.26,True
8680,8,4.0,326.2,47.6,182.16,206.40669072149868,-2.63,118.07,True
9808,45,2.0,244.4,-14.62,118.23,128.9643901533313,7.22,129.19,True
9879,22,3.0,299.0,31.78,173.61,196.82401339096623,12.79,129.82,True
10084,5,4.2,301.3,24.04,166.59,189.68951607704892,1.06,119.05,True
10138,48,1.9,210.9,-9.44,102.81,113.81764738393159,6.08,122.0,True
10255,23,3.0,284.1,-5.78,144.43,163.21878227830854,2.22,119.49,True
11329,3,4.7,333.1,48.61,185.97,208.42672786245234,-5.42,110.93,True
11444,46,1.9,236.2,-6.17,116.32,128.88436548209677,3.71,120.49,True
12331,21,3.1,244.4,15.94,138.22,157.01584642917982,-5.52,110.23,True
13100,13,3.8,247.5,22.54,126.84,141.6342676617393,4.82,120.47,True
13375,55,1.1,167.0,-43.39,67.37,73.72271667828312,9.29,123.29,True
14204,28,2.9,229.5,1.4,102.97,109.30668228246363,-4.07,106.03,True
14525,25,3.0,256.7,23.79,132.07,146.93582260787417,2.56,118.26,True
14631,2,5.1,307.4,65.27,180.64,206.30096537928193,-11.81,104.51,True
14954,30,2.7,208.3,-11.33,93.68,99.31553109688465,-2.97,115.12,True
15668,42,2.1,214.2,-8.63,114.14,128.8520145540624,3.66,122.47,True
16236,9,4.0,277.6,45.61,157.95,178.86326638218097,-5.36,112.75,True
16917,26,3.0,245.0,5.61,141.57,162.52633354990908,4.6,127.19,True
17288,36,2.3,216.6,-13.19,108.91,119.11889584964614,2.36,116.87,True
17861,4,4.2,344.5,51.89,202.2,230.1146234425738,2.39,120.78,True
18185,51,1.5,175.6,-40.9,69.98,68.91530152452086,-3.95,111.15,True
18240,52,1.4,167.7,-30.8,52.79,49.31888235332,4.43,120.42,True
18650,57,0.4,124.3,-75.53,34.65,33.06039137445936,8.44,125.25,True
19066,1,5.1,346.0,74.35,199.03,224.65836037104935,-14.03,100.82,True
19498,35,2.3,241.8,-11.2,112.36,122.22368238751487,0.52,118.83,True
19500,17,3.3,236.3,-15.59,114.87,126.2921257562758,5.79,127.5,True
19955,47,1.9,229.5,-11.2,109.61,118.50467123959287,-1.75,117.12,True
19956,33,2.5,170.1,-13.12,54.38,51.92876851643511,0.12,109.27,True
20131,18,3.3,235.5,4.53,112.22,123.63063487804871,-8.74,100.81,True
20515,32,2.6,210.5,-1.09,101.2,113.53580151994737,-5.81,109.65,True
21225,20,3.2,221.3,-5.24,102.99,112.33025212320375,-6.68,112.67,True
21936,10,3.9,278.0,32.82,157.1,179.90717560601757,2.88,121.85,True
22105,11,3.9,261.6,17.23,115.85,122.58109215515067,-6.09,104.83,True
22471,56,0.9,121.8,-63.46,24.22,17.48608642500449,-6.21,103.45,True
22755,50,1.6,149.4,-59.77,26.94,15.322651308715798,-1.73,105.61,True
23305,41,2.1,236.3,-9.17,126.09,142.0453953483204,6.71,125.96,True
23350,44,2.1,174.5,-21.16,76.26,81.28841271876361,-3.67,109.1,True
23396,38,2.3,181.3,-36.3,73.49,76.07154900498739,-0.2,113.2,True
23504,49,1.8,221.8,-12.81,108.16,120.56772585317987,-1.82,108.52,True
23623,12,3.8,265.5,18.8,127.8,139.12350462168175,-0.4,116.21,True
24090,14,3.6,246.8,12.38,113.92,122.47087069597998,-15.08,101.4,True
24219,37,2.3,215.4,-7.32,101.49,109.32773325194131,4.64,121.73,True
24751,34,2.3,246.1,-0.06,130.36,148.86232273413668,0.32,115.83,True
25957,39,2.2,204.8,-20.14,104.55,116.84393609682273,1.84,122.31,True
26064,54,1.2,133.8,-48.45,37.9,33.453810838008934,4.61,116.46,True
26089,40,2.2,198.5,-17.64,89.94,98.14650353169282,7.02,121.75,True
26501,53,1.3,161.9,-48.84,73.3,78.20536265311249,6.42,122.73,True
27674,15,3.5,296.7,43.88,172.87,197.75790585054102,4.28,120.94,True
29029,24,3.0,263.0,-1.21,139.73,157.74541754086314,7.45,126.04,True
